,0,1
0,chocolat,bonbons-chewing-gum
1,petit-dejeuner,cacao-chocolats-en-poudre
2,boissons-chaudes-froides,boissons-energetiques
3,chocolat,chocolat
4,chocolat,sain-bio
5,garnitures-ingredients,tomates-en-conserve
6,fruits-et-legumes,legumes
7,viande,volaille
8,garnitures-ingredients,du-monde-entier
9,viande,saucisses
10,chocolat,biscuits-gaufres
11,plats-cuisines,pizza-menus-snacks
12,garnitures-ingredients,soupes-sauces-bouillon
13,produits-surgeles,plats-cuisines
14,produits-surgeles,glace-entremets
15,mueesli-cereales,barres-de-cereales
16,boissons-chaudes-froides,the
17,garnitures-ingredients,pates
18,boulangerie,biscottes-pain-croustillant
19,produits-laitiers-oeufs,fromages
20,mueesli-cereales,cereales
21,fruits-et-legumes,fruits
22,boulangerie,farine
23,viande,viande-sechee-jambon
24,produits-laitiers-oeufs,yogourt
25,mueesli-cereales,mueesli
26,chocolat,divers
27,boulangerie,produits-frais-de-boulangerie-non-refrigeres
28,garnitures-ingredients,legumes-a-salade
29,boulangerie,ingredients-de-boulangerie
30,garnitures-ingredients,legumes-legumes-au-vinaigre
31,garnitures-ingredients,epices-herbes
32,boissons-chaudes-froides,sirop-soda
33,boissons-chaudes-froides,cafe
34,chocolat,specialites
35,boissons-chaudes-froides,the-glace
36,boissons-chaudes-froides,boissons-sucrees
37,poisson-fruits-de-mer,traiteur
38,produits-surgeles,poisson-fruits-de-mer
39,petit-dejeuner,confitures-portions-de-miel
40,boissons-chaudes-froides,jus-de-fruits-de-legumes
41,viande,salami-lard
42,boissons-chaudes-froides,eau-aromatisee
43,garnitures-ingredients,garnitures-moulues-cereales
44,garnitures-ingredients,champignons-olives-en-conserve
45,poisson-fruits-de-mer,fruits-de-mer-crevettes
46,viande,produits-de-charcuterie
47,garnitures-ingredients,antipasti
48,chocolat,blevita
49,boulangerie,boulangerie-patisserie
50,petit-dejeuner,confitures
51,garnitures-ingredients,viande-en-conserve
52,produits-laitiers-oeufs,lait-boissons-lactees
53,boulangerie,produits-frais-de-boulangerie-refrigeres
54,aperitif,snacks
55,aperitif,biscuits-aperitifs
56,boissons-chaudes-froides,boissons-daperitif
57,aperitif,chips
58,garnitures-ingredients,pommes-de-terre-spaetzli
59,viande,porc
60,produits-surgeles,aperitif-dessert
61,aperitif,noix-grillees
62,produits-surgeles,legumes-pommes-de-terre
63,viande,boeuf
64,produits-surgeles,fruits
65,produits-laitiers-oeufs,birchermueesli
66,garnitures-ingredients,ingredients-de-cuisson
67,garnitures-ingredients,poisson-en-conserve
68,garnitures-ingredients,garnitures-bio
69,garnitures-ingredients,champignons
70,produits-laitiers-oeufs,creme
71,produits-surgeles,viande
72,boulangerie,petits-pains
73,boulangerie,pains-de-mie
74,produits-laitiers-oeufs,dessert
75,chocolat,jours-de-fetes-evenements
76,aperitif,popcorn
77,garnitures-ingredients,riz
78,produits-surgeles,pizza
79,viande,lapin
80,plats-cuisines,plats-cuisines
81,boulangerie,pains
82,boissons-chaudes-froides,eau-minerale
83,plats-cuisines,convenience
84,viande,veau
85,garnitures-ingredients,fruits-en-conserve
86,produits-laitiers-oeufs,sere
87,chocolat,biscuits-pour-enfants
88,poisson-fruits-de-mer,poisson-frais
89,petit-dejeuner,miel
90,viande,agneau-chevre
91,produits-laitiers-oeufs,oeufs
92,boulangerie,produits-sans-gluten
93,garnitures-ingredients,legumineuses-haricots-verts-seches
94,garnitures-ingredients,legumineuses-farce-pour-vol-au-vent
95,viande,gibier
96,produits-laitiers-oeufs,beurre
97,boulangerie,pains-longue-conservation
98,chocolat,biscuits-pour-allergiques
99,boissons-chaudes-froides,boissons-faibles-en-calories
100,boulangerie,pains-bio-longue-conservation
101,produits-laitiers-oeufs,margarine
102,garnitures-ingredients,divers
103,produits-laitiers-oeufs,divers
104,petit-dejeuner,pates-a-tartiner
105,viande,bio
106,viande,sous-produits
107,produits-surgeles,boulangerie-patisserie
108,viande,accompagnements
109,viande,cheval
110,viande,divers
111,boulangerie,farines-sans-gluten
